dt;userid;meal_id;event
2013-01-01;3;18;bought
2013-01-01;7;1;like
2013-01-01;10;29;bought
2013-01-01;11;19;share
2013-01-01;15;33;like
2013-01-01;18;4;share
2013-01-01;18;40;bought
2013-01-01;21;10;share
2013-01-01;21;4;like
2013-01-01;22;23;bought
2013-01-01;25;8;bought
2013-01-01;27;29;like
2013-01-01;28;37;share
2013-01-01;28;18;bought
2013-01-02;5;43;bought
2013-01-02;8;40;share
2013-01-02;8;39;bought
2013-01-02;11;27;share
2013-01-02;20;11;like
2013-01-02;21;35;share
2013-01-02;21;36;like
2013-01-02;23;36;share
2013-01-02;25;28;like
2013-01-02;26;9;share
2013-01-02;26;33;like
2013-01-02;27;3;like
2013-01-02;32;41;share
2013-01-02;32;14;like
2013-01-02;35;12;share
2013-01-02;35;35;bought
2013-01-03;3;15;bought
2013-01-03;7;48;share
2013-01-03;8;21;share
2013-01-03;17;25;bought
2013-01-03;20;36;share
2013-01-03;21;44;bought
2013-01-03;26;35;share
2013-01-03;29;39;like
2013-01-03;31;34;share
2013-01-03;33;33;share
2013-01-03;33;32;like
2013-01-03;33;45;bought
2013-01-03;35;45;like
2013-01-03;38;12;share
2013-01-03;40;31;like
2013-01-03;47;22;like
2013-01-03;47;11;bought
2013-01-03;54;27;share
2013-01-03;57;25;like
2013-01-03;63;31;like
2013-01-04;1;48;share
2013-01-04;1;31;like
2013-01-04;2;29;like
2013-01-04;3;41;share
2013-01-04;5;38;share
2013-01-04;5;29;bought
2013-01-04;8;40;share
2013-01-04;8;46;bought
2013-01-04;11;26;share
2013-01-04;27;36;like
2013-01-04;28;50;share
2013-01-04;30;42;like
2013-01-04;31;43;share
2013-01-04;32;30;share
2013-01-04;32;20;like
2013-01-04;33;47;like
2013-01-04;45;15;bought
2013-01-04;47;15;share
2013-01-04;49;33;bought
2013-01-04;52;15;share
2013-01-04;52;51;like
2013-01-04;58;14;share
2013-01-04;62;42;share
2013-01-04;62;28;like
2013-01-04;64;24;share
2013-01-04;69;51;bought
2013-01-04;71;31;share
2013-01-04;75;21;like
2013-01-04;79;14;like
2013-01-04;83;37;share
2013-01-04;84;43;share
2013-01-05;2;38;like
2013-01-05;8;35;bought
